frame,region,vehicles
337,Bottom-Right,2
337,Top-Left,1
337,Top-Right,2
338,Bottom-Right,2
338,Top-Left,1
338,Top-Right,2
339,Bottom-Right,2
339,Top-Left,1
339,Top-Right,2
340,Bottom-Right,2
340,Top-Left,1
340,Top-Right,2
341,Bottom-Right,2
341,Top-Left,1
341,Top-Right,2
342,Bottom-Right,2
342,Top-Left,1
342,Top-Right,2
343,Bottom-Right,1
343,Top-Left,1
343,Top-Right,3
344,Bottom-Right,1
344,Top-Left,1
344,Top-Right,3
345,Bottom-Right,1
345,Top-Left,1
345,Top-Right,3
346,Bottom-Right,1
346,Top-Left,1
346,Top-Right,3
347,Bottom-Right,1
347,Top-Left,1
347,Top-Right,3
348,Bottom-Right,1
348,Top-Left,1
348,Top-Right,4
349,Top-Left,1
349,Top-Right,4
350,Top-Left,1
350,Top-Right,4
351,Top-Left,1
351,Top-Right,4
352,Top-Left,1
352,Top-Right,4
353,Top-Left,1
353,Top-Right,4
354,Top-Left,1
354,Top-Right,4
355,Top-Left,1
355,Top-Right,4
356,Top-Left,1
356,Top-Right,4
357,Top-Left,1
357,Top-Right,5
358,Top-Left,1
358,Top-Right,5
359,Top-Left,1
359,Top-Right,5
360,Top-Left,1
360,Top-Right,5
361,Top-Left,1
361,Top-Right,5
362,Top-Left,1
362,Top-Right,5
363,Bottom-Right,1
363,Top-Left,1
363,Top-Right,4
364,Bottom-Right,1
364,Top-Left,1
364,Top-Right,4
365,Bottom-Right,1
365,Top-Left,1
365,Top-Right,4
366,Bottom-Right,1
366,Top-Left,1
366,Top-Right,4
367,Bottom-Right,1
367,Top-Left,1
367,Top-Right,4
368,Bottom-Right,1
368,Top-Left,2
368,Top-Right,3
369,Bottom-Right,1
369,Top-Left,2
369,Top-Right,3
370,Bottom-Right,1
370,Top-Left,2
370,Top-Right,3
371,Bottom-Right,1
371,Top-Left,2
371,Top-Right,3
372,Bottom-Right,1
372,Top-Left,2
372,Top-Right,3
373,Bottom-Right,1
373,Top-Left,2
373,Top-Right,3
374,Bottom-Right,1
374,Top-Left,2
374,Top-Right,3
375,Bottom-Right,1
375,Top-Left,2
375,Top-Right,3
376,Bottom-Right,1
376,Top-Left,2
376,Top-Right,4
377,Top-Left,2
377,Top-Right,4
378,Top-Left,2
378,Top-Right,4
379,Top-Left,2
379,Top-Right,4
380,Top-Left,2
380,Top-Right,4
381,Top-Left,2
381,Top-Right,4
382,Top-Left,2
382,Top-Right,4
383,Top-Left,2
383,Top-Right,4
384,Top-Left,2
384,Top-Right,4
385,Top-Left,2
385,Top-Right,4
386,Bottom-Right,1
386,Top-Left,2
386,Top-Right,3
387,Bottom-Right,1
387,Top-Left,2
387,Top-Right,3
388,Bottom-Right,1
388,Top-Left,2
388,Top-Right,2
389,Bottom-Right,1
389,Top-Left,2
389,Top-Right,3
390,Bottom-Right,1
390,Top-Left,2
390,Top-Right,3
391,Bottom-Right,1
391,Top-Left,2
391,Top-Right,3
392,Bottom-Right,1
392,Top-Left,2
392,Top-Right,3
393,Bottom-Right,1
393,Top-Left,2
393,Top-Right,3
394,Bottom-Right,1
394,Top-Left,2
394,Top-Right,3
395,Bottom-Right,1
395,Top-Left,2
395,Top-Right,3
396,Bottom-Right,1
396,Top-Left,2
396,Top-Right,3
397,Bottom-Right,1
397,Top-Left,2
397,Top-Right,3
398,Bottom-Right,1
398,Top-Left,2
398,Top-Right,3
399,Bottom-Right,1
399,Top-Left,2
399,Top-Right,3
400,Bottom-Right,1
400,Top-Left,2
400,Top-Right,3
401,Bottom-Right,1
401,Top-Left,2
401,Top-Right,3
402,Top-Left,2
402,Top-Right,3
403,Top-Left,2
403,Top-Right,3
404,Top-Left,2
404,Top-Right,3
405,Top-Left,2
405,Top-Right,3
406,Top-Left,2
406,Top-Right,3
407,Top-Left,2
407,Top-Right,3
408,Top-Left,2
408,Top-Right,3
409,Top-Left,2
409,Top-Right,3
410,Top-Left,2
410,Top-Right,3
411,Bottom-Left,1
411,Top-Left,1
411,Top-Right,3
412,Bottom-Left,1
412,Top-Left,1
412,Top-Right,3
413,Bottom-Left,1
413,Bottom-Right,1
413,Top-Left,1
413,Top-Right,2
414,Bottom-Left,1
414,Bottom-Right,1
414,Top-Left,1
414,Top-Right,2
415,Bottom-Left,1
415,Bottom-Right,1
415,Top-Left,1
415,Top-Right,2
416,Bottom-Left,1
416,Bottom-Right,1
416,Top-Left,1
416,Top-Right,2
417,Bottom-Left,1
417,Bottom-Right,1
417,Top-Left,1
417,Top-Right,2
418,Bottom-Left,1
418,Bottom-Right,1
418,Top-Left,1
418,Top-Right,2
419,Bottom-Left,1
419,Bottom-Right,1
419,Top-Left,1
419,Top-Right,2
420,Bottom-Left,1
420,Bottom-Right,1
420,Top-Left,1
420,Top-Right,2
421,Bottom-Left,1
421,Bottom-Right,1
421,Top-Left,1
421,Top-Right,2
422,Bottom-Left,1
422,Bottom-Right,1
422,Top-Left,1
422,Top-Right,2
423,Bottom-Left,1
423,Bottom-Right,1
423,Top-Left,1
423,Top-Right,2
424,Bottom-Left,1
424,Bottom-Right,1
424,Top-Left,1
424,Top-Right,2
425,Bottom-Left,1
425,Bottom-Right,1
425,Top-Left,1
425,Top-Right,2
426,Bottom-Left,1
426,Bottom-Right,1
426,Top-Left,1
426,Top-Right,2
427,Bottom-Left,1
427,Bottom-Right,1
427,Top-Left,1
427,Top-Right,2
428,Bottom-Left,1
428,Bottom-Right,1
428,Top-Left,2
428,Top-Right,3
429,Bottom-Left,1
429,Bottom-Right,1
429,Top-Left,2
429,Top-Right,3
430,Bottom-Left,1
430,Bottom-Right,2
430,Top-Left,2
430,Top-Right,2
431,Bottom-Left,1
431,Bottom-Right,2
431,Top-Left,2
431,Top-Right,2
432,Bottom-Right,2
432,Top-Left,2
432,Top-Right,2
433,Bottom-Right,2
433,Top-Left,2
433,Top-Right,2
434,Bottom-Right,1
434,Top-Left,2
434,Top-Right,2
435,Bottom-Left,1
435,Bottom-Right,1
435,Top-Left,1
435,Top-Right,2
436,Bottom-Left,1
436,Bottom-Right,1
436,Top-Left,1
436,Top-Right,2
437,Bottom-Left,1
437,Bottom-Right,1
437,Top-Left,1
437,Top-Right,2
438,Bottom-Left,1
438,Bottom-Right,1
438,Top-Left,1
438,Top-Right,2
439,Bottom-Left,1
439,Bottom-Right,1
439,Top-Left,1
439,Top-Right,3
440,Bottom-Left,1
440,Bottom-Right,1
440,Top-Left,1
440,Top-Right,3
441,Bottom-Left,1
441,Bottom-Right,1
441,Top-Left,1
441,Top-Right,3
442,Bottom-Left,1
442,Bottom-Right,1
442,Top-Left,1
442,Top-Right,3
443,Bottom-Left,1
443,Bottom-Right,1
443,Top-Left,1
443,Top-Right,3
444,Bottom-Left,1
444,Bottom-Right,1
444,Top-Left,1
444,Top-Right,3
445,Bottom-Left,1
445,Bottom-Right,1
445,Top-Left,1
445,Top-Right,3
446,Bottom-Left,1
446,Top-Left,1
446,Top-Right,3
447,Bottom-Left,1
447,Top-Left,1
447,Top-Right,4
448,Bottom-Left,1
448,Top-Left,1
448,Top-Right,4
449,Bottom-Left,1
449,Top-Left,1
449,Top-Right,4
450,Bottom-Left,1
450,Top-Left,1
450,Top-Right,4
451,Bottom-Left,1
451,Top-Left,1
451,Top-Right,4
452,Bottom-Left,1
452,Top-Left,1
452,Top-Right,4
453,Bottom-Left,1
453,Top-Left,1
453,Top-Right,4
454,Bottom-Left,1
454,Top-Left,1
454,Top-Right,4
455,Bottom-Left,1
455,Top-Left,1
455,Top-Right,4
456,Top-Left,1
456,Top-Right,4
457,Top-Left,1
457,Top-Right,4
458,Top-Left,1
458,Top-Right,4
459,Top-Left,1
459,Top-Right,4
460,Top-Left,1
460,Top-Right,4
461,Top-Left,1
461,Top-Right,4
462,Top-Left,1
462,Top-Right,4
463,Top-Left,1
463,Top-Right,4
464,Top-Left,1
464,Top-Right,4
465,Top-Left,1
465,Top-Right,4
466,Top-Left,1
466,Top-Right,4
467,Top-Left,1
467,Top-Right,4
468,Top-Left,1
468,Top-Right,4
469,Top-Left,1
469,Top-Right,4
470,Top-Left,1
470,Top-Right,4
471,Bottom-Right,1
471,Top-Left,1
471,Top-Right,3
472,Bottom-Right,1
472,Top-Left,1
472,Top-Right,3
473,Bottom-Right,1
473,Top-Left,1
473,Top-Right,3
474,Bottom-Right,1
474,Top-Left,1
474,Top-Right,3
475,Bottom-Right,1
475,Top-Left,1
475,Top-Right,3
476,Bottom-Right,1
476,Top-Left,1
476,Top-Right,3
477,Bottom-Right,1
477,Top-Left,1
477,Top-Right,3
478,Bottom-Right,1
478,Top-Left,1
478,Top-Right,2
479,Bottom-Right,1
479,Top-Left,1
479,Top-Right,2
480,Bottom-Right,1
480,Top-Left,1
480,Top-Right,2
481,Bottom-Right,1
481,Top-Left,1
481,Top-Right,2
482,Bottom-Right,1
482,Top-Left,1
482,Top-Right,2
483,Bottom-Right,1
483,Top-Left,1
483,Top-Right,2
484,Bottom-Right,1
484,Top-Left,1
484,Top-Right,2
485,Bottom-Right,1
485,Top-Left,1
485,Top-Right,2
486,Bottom-Right,1
486,Top-Left,1
486,Top-Right,2
487,Bottom-Right,1
487,Top-Left,1
487,Top-Right,2
488,Bottom-Right,1
488,Top-Left,1
488,Top-Right,2
489,Bottom-Right,1
489,Top-Left,1
489,Top-Right,2
490,Top-Left,1
490,Top-Right,2
491,Top-Left,1
491,Top-Right,2
492,Top-Left,1
492,Top-Right,2
493,Top-Left,1
493,Top-Right,2
494,Top-Left,1
494,Top-Right,2
495,Top-Left,1
495,Top-Right,2
496,Top-Left,1
496,Top-Right,2
497,Top-Left,1
497,Top-Right,3
498,Top-Left,1
498,Top-Right,3
499,Top-Left,1
499,Top-Right,3
500,Top-Left,1
500,Top-Right,3
501,Top-Left,1
501,Top-Right,3
502,Bottom-Right,1
502,Top-Left,1
502,Top-Right,2
503,Bottom-Right,1
503,Top-Left,1
503,Top-Right,2
504,Bottom-Right,1
504,Top-Left,1
504,Top-Right,2
505,Bottom-Right,1
505,Top-Left,1
505,Top-Right,2
506,Bottom-Right,1
506,Top-Left,1
506,Top-Right,2
507,Bottom-Right,1
507,Top-Left,1
507,Top-Right,3
508,Bottom-Right,1
508,Top-Left,1
508,Top-Right,3
509,Bottom-Right,1
509,Top-Left,1
509,Top-Right,3
510,Bottom-Right,1
510,Top-Left,1
510,Top-Right,3
511,Bottom-Right,1
511,Top-Left,1
511,Top-Right,3
512,Bottom-Left,1
512,Bottom-Right,1
512,Top-Right,3
513,Bottom-Left,1
513,Bottom-Right,1
513,Top-Right,3
514,Bottom-Left,1
514,Bottom-Right,1
514,Top-Right,3
515,Bottom-Left,1
515,Bottom-Right,2
515,Top-Right,2
516,Bottom-Left,1
516,Bottom-Right,2
516,Top-Right,2
517,Bottom-Left,1
517,Bottom-Right,2
517,Top-Right,2
518,Bottom-Left,1
518,Bottom-Right,2
518,Top-Right,2
519,Bottom-Left,1
519,Bottom-Right,2
519,Top-Right,2
520,Bottom-Left,1
520,Bottom-Right,2
520,Top-Right,2
521,Bottom-Left,1
521,Bottom-Right,2
521,Top-Right,2
522,Bottom-Left,1
522,Bottom-Right,2
522,Top-Right,2
523,Bottom-Left,1
523,Bottom-Right,2
523,Top-Right,2
524,Bottom-Left,1
524,Bottom-Right,2
524,Top-Right,2
525,Bottom-Left,1
525,Bottom-Right,2
525,Top-Right,2
526,Bottom-Left,1
526,Bottom-Right,2
526,Top-Right,2
527,Bottom-Left,1
527,Bottom-Right,2
527,Top-Right,2
528,Bottom-Left,1
528,Bottom-Right,2
528,Top-Right,2
529,Bottom-Left,1
529,Bottom-Right,2
529,Top-Right,2
530,Bottom-Left,1
530,Bottom-Right,2
530,Top-Right,2
531,Bottom-Left,1
531,Bottom-Right,1
531,Top-Right,2
532,Bottom-Left,1
532,Bottom-Right,1
532,Top-Right,2
533,Bottom-Left,1
533,Bottom-Right,1
533,Top-Right,2
534,Bottom-Left,1
534,Bottom-Right,1
534,Top-Right,2
535,Bottom-Left,1
535,Bottom-Right,1
535,Top-Right,2
536,Bottom-Left,1
536,Bottom-Right,1
536,Top-Right,2
537,Bottom-Left,1
537,Top-Right,2
538,Bottom-Left,1
538,Top-Right,2
539,Bottom-Left,1
539,Top-Right,3
540,Bottom-Left,1
540,Top-Right,3
541,Bottom-Left,1
541,Top-Right,3
542,Bottom-Left,1
542,Top-Right,3
543,Top-Left,1
543,Top-Right,2
544,Top-Left,1
544,Top-Right,2
545,Top-Left,1
545,Top-Right,2
546,Top-Left,1
546,Top-Right,2
547,Top-Left,1
547,Top-Right,3
548,Top-Left,1
548,Top-Right,3
549,Top-Left,1
549,Top-Right,3
550,Top-Left,1
550,Top-Right,3
551,Top-Left,1
551,Top-Right,3
552,Top-Left,1
552,Top-Right,3
553,Bottom-Right,1
553,Top-Left,1
553,Top-Right,3
554,Bottom-Right,1
554,Top-Left,1
554,Top-Right,3
555,Bottom-Right,1
555,Top-Left,1
555,Top-Right,3
556,Bottom-Right,1
556,Top-Left,1
556,Top-Right,3
557,Bottom-Right,1
557,Top-Left,1
557,Top-Right,2
558,Bottom-Right,1
558,Top-Left,1
558,Top-Right,2
559,Bottom-Right,1
559,Top-Left,1
559,Top-Right,2
560,Bottom-Right,1
560,Top-Left,1
560,Top-Right,2
561,Bottom-Right,1
561,Top-Left,1
561,Top-Right,2
562,Bottom-Right,1
562,Top-Left,1
562,Top-Right,2
563,Bottom-Right,1
563,Top-Left,1
563,Top-Right,2
564,Bottom-Right,1
564,Top-Left,1
564,Top-Right,2
565,Bottom-Right,1
565,Top-Left,1
565,Top-Right,3
566,Bottom-Right,1
566,Top-Left,1
566,Top-Right,3
567,Bottom-Right,1
567,Top-Left,1
567,Top-Right,3
568,Bottom-Left,1
568,Bottom-Right,1
568,Top-Right,3
569,Bottom-Left,1
569,Bottom-Right,1
569,Top-Right,3
570,Bottom-Left,1
570,Bottom-Right,1
570,Top-Right,3
571,Bottom-Left,1
571,Bottom-Right,1
571,Top-Right,3
572,Bottom-Left,1
572,Bottom-Right,1
572,Top-Right,3
573,Bottom-Left,1
573,Bottom-Right,1
573,Top-Right,3
574,Bottom-Left,1
574,Bottom-Right,1
574,Top-Right,3
575,Bottom-Left,1
575,Bottom-Right,1
575,Top-Right,3
576,Bottom-Left,1
576,Top-Right,4
577,Bottom-Left,1
577,Top-Right,4
578,Bottom-Left,1
578,Top-Right,4
579,Bottom-Left,1
579,Top-Right,4
580,Bottom-Left,1
580,Top-Right,5
581,Bottom-Left,1
581,Top-Right,5
582,Bottom-Left,1
582,Top-Right,5
583,Bottom-Left,1
583,Top-Right,5
584,Bottom-Left,1
584,Top-Right,5
585,Bottom-Left,1
585,Top-Right,5
586,Bottom-Left,1
586,Top-Right,5
